Tag_Number,Release_Da,Latitude,Longitude,Species_Na,Length,Weight,Latitude_F,Longitude_
B146222,4/25/18,26.36S,153.5,BLACK MARLIN,140.0,20.0,-26.58333333,153.5000000000001
A588116,3/23/18,34.06S,151.41666667,DOLPHINFISH,65.0,0.0,-34.08333333,151.41666666700007
B095590,1/19/14,33.00S,152.41666667,STRIPED MARLIN,0.0,70.0,-33.0,152.41666666700007
A539835,5/3/10,35.23S,136.08333333,SOUTHERN BLUEFIN TUNA,74.0,8.5,-35.41666667,136.08333333300004
A548949,10/30/11,20.08S,149.58333333,SPANISH MACKEREL,60.0,4.0,-20.16666667,149.58333333300004
B098278,7/17/14,19.16S,147.41666667,BLACK MARLIN,0.0,14.0,-19.25,147.41666666700007
B107362,3/9/15,21.54S,113.83333333,BLACK MARLIN,180.0,30.0,-21.91666667,113.83333333300004
B129165,1/14/19,21.57S,114.16666667,BLUE MARLIN,255.0,150.0,-21.91666667,114.16666666700007
A577152,4/11/14,28.14S,113.58333333,SPANISH MACKEREL,110.0,9.0,-28.25,113.58333333300004
B113101,1/2/15,27.54S,153.75,BLACK MARLIN,130.0,30.0,-27.91666667,153.7500000000001
A558092,1/11/13,27.29S,153.58333333,YELLOWFIN TUNA,60.0,5.0,-27.5,153.58333333300004
B157196,4/18/19,26.34S,155.41666667,BLACK MARLIN,125.0,20.0,-26.58333333,155.41666666700007
B064041,3/16/11,21.43S,114.08333333,SAILFISH,195.0,25.0,-21.75,114.08333333300004
B060380,11/26/10,6.40S,147.83333333,SAILFISH,0.0,25.0,-6.66666667,147.83333333300004
B014328,4/3/15,32.06S,115.16666667,BLUE MARLIN,200.0,80.0,-32.08333333,115.16666666700007
B010650,3/1/09,35.11S,150.91666667,STRIPED MARLIN,0.0,70.0,-35.16666667,150.91666666700007
B026148,1/26/07,27.52S,154.0,BLUE MARLIN,240.0,0.0,-27.83333333,154.0000000000001
B052302,12/30/09,27.45S,153.91666667,BLUE MARLIN,250.0,120.0,-27.75,153.91666666700007
B021810,2/13/12,33.01S,152.41666667,STRIPED MARLIN,230.0,70.0,-33.0,152.41666666700007
